Question,Answer,isCorrect
Pemphigus vulgaris khác với pemphigus foliaceus ở điểm nào về lâm sàng và mô bệnh học?,"Pemphigus vulgaris thường ảnh hưởng đến cả da và niêm mạc, trong khi Pemphigus foliaceus chủ yếu gây ra các bọng nước trên da.",1
Kem bôi ngoài da nào được khuyến cáo sử dụng cho bệnh vảy phấn đỏ nang lông?,Một số loại kem bôi chứa corticosteroid hoặc thuốc ức chế miễn dịch có thể giúp làm dịu các triệu chứng của bệnh vảy phấn đỏ nang lông.,1
Kháng thể nào có liên quan mật thiết đến bệnh Pemphigus và vai trò của nó trong cơ chế gây bệnh là gì?,"Các yếu tố như stress, nhiễm trùng và việc sử dụng một số loại thuốc có thể kích thích bùng phát bệnh Pemphigus.",0
Bệnh mày đay có lây nhiễm không?,Bệnh mày đay không lây nhiễm.,1
Phụ nữ mang thai bị herpes sinh dục có nguy cơ gì?,"Nếu bạn bị herpes sinh dục khi mang thai, bạn nên thảo luận với bác sĩ về các phương pháp kiểm soát tình trạng bệnh và bảo vệ thai nhi trong suốt thai kỳ.",1
"Sự khác biệt giữa vảy phấn hồng Gibert và các bệnh da liễu khác như chàm, vẩy nến là gì?","Vảy phấn hồng Gibert và bệnh vẩy nến là hai tình trạng da khác nhau. Vảy phấn hồng Gibert thường gây ra các mảng da màu hồng hoặc đỏ, trong khi vẩy nến là một bệnh tự miễn và không liên quan đến vi khuẩn.",1
Phương pháp chẩn đoán nào là vàng để xác định bệnh pemphigus vulgaris?,"Chẩn đoán bệnh pemphigus thường dựa trên các triệu chứng lâm sàng, kết quả xét nghiệm máu để tìm kháng thể tự miễn và có thể cần sinh thiết da để xác nhận chẩn đoán.",1
Làm thế nào để phòng ngừa bệnh nấm tóc?,"Để phòng ngừa, cần giữ vệ sinh cá nhân tốt, không chia sẻ đồ dùng cá nhân và giữ cho da đầu khô ráo.",1
Phương pháp điều trị thông thường cho bệnh Zona là gì?,"Điều trị bệnh Zona thường bao gồm thuốc kháng virus (như acyclovir, valacyclovir) để giảm nhẹ các triệu chứng và ngăn ngừa biến chứng. Ngoài ra, thuốc giảm đau và kem bôi có thể được dùng để giảm đau và giảm ngứa.",1
Có loại kem nào dành riêng cho những người mắc bệnh này không?,"Một số loại kem chống nấm có thể được sử dụng để điều trị bệnh chàm. Tuy nhiên, bạn nên tham khảo ý kiến bác sĩ để chọn loại kem phù hợp nhất với tình trạng của mình.",0
"Nguyên nhân gây ra dày sừng lòng bàn tay, bàn chân di chuyển là gì?","Nguyên nhân chính xác của bệnh dày sừng lòng bàn tay, bàn chân di truyền chưa được biết rõ, nhưng có thể liên quan đến yếu tố di truyền, môi trường, hoặc các vấn đề sức khỏe khác.",1
Có phương pháp nào để phòng ngừa u mềm lây hiệu quả không?,"Để phòng ngừa u mềm lây, nên tránh tiếp xúc với các nốt u, không chia sẻ đồ dùng cá nhân và sử dụng bao cao su trong quan hệ tình dục.",1
Phòng ngừa bệnh phong hiệu quả nhất bằng cách nào?,"Để phòng ngừa bệnh phong, nên tránh tiếp xúc gần gũi với người mắc bệnh và giữ gìn vệ sinh cá nhân thật tốt.",1
Thời gian điều trị viêm âm đạo do trùng roi thường kéo dài bao lâu?,"Thời gian điều trị viêm âm đạo do trùng roi thường kéo dài từ vài ngày đến một tuần, tùy thuộc vào mức độ nặng của bệnh và phản ứng của cơ thể với thuốc.",1
"Tôi bị ngứa và phát ban ở tay sau khi tiếp xúc với hóa chất tại nơi làm việc, đây có thể là dấu hiệu của bệnh da nghề nghiệp không?",Có khả năng bạn bị chàm nghề nghiệp do tiếp xúc với các chất kích ứng trong môi trường làm việc. Bạn nên đến gặp bác sĩ để được chẩn đoán chính xác và điều trị kịp thời.,1
Ung thư tế bào đáy có thể di căn không và nếu có thì thường di căn đến những bộ phận nào trong cơ thể?,"Ung thư tế bào đáy có thể di căn đến các hạch bạch huyết, phổi, gan, não và các cơ quan khác trong cơ thể.",0
Vai trò của việc loại bỏ các chất gây dị ứng trong chế độ ăn uống đối với việc điều trị viêm da đầu chi - ruột là gì?,"Chế độ ăn uống đóng vai trò quan trọng trong việc kiểm soát viêm da đầu chi-ruột. Bạn nên tránh các loại thực phẩm gây dị ứng, như hải sản, trứng, sữa, đậu nành, lúa mì và lúa mạch đen.",0
Viêm nang lông có thể để lại sẹo không? Nếu có thì làm sao để giảm thiểu sẹo?,"Có, nếu viêm nang lông không được điều trị đúng cách, nó có thể để lại sẹo hoặc làm tổn thương da.",1
Liệu pháp miễn dịch ức chế nào có hiệu quả trong điều trị pemphigus vulgaris khó đáp ứng với corticosteroid?,"Liệu pháp miễn dịch giúp giảm triệu chứng và ngăn chặn hệ miễn dịch tấn công các tế bào khỏe mạnh của cơ thể, từ đó làm giảm khả năng chống lại nhiễm trùng và kiểm soát bệnh pemphigus.",0
Nguy cơ ung thư nào tăng lên ở bệnh nhân bị u xơ thần kinh loại 1?,"Các loại u xơ thần kinh có thể gây ra sự thay đổi trong hình dạng cơ thể, chẳng hạn như làm biến dạng các phần cơ thể nếu chúng phát triển ở các vị trí quan trọng hoặc gây ra sự gia tăng mô ở các khu vực như mặt hoặc thân.",0
Triệu chứng đặc trưng nhất của viêm bì cơ là gì?,"Triệu chứng chính bao gồm phát ban da, yếu cơ, đau cơ và mệt mỏi.",1
Bệnh gai đen có thể gây ra các biến chứng nào nguy hiểm?,"Bệnh gai đen thường không gây ra biến chứng nghiêm trọng, nhưng khi nó liên quan đến các bệnh lý như tiểu đường hoặc rối loạn nội tiết, nó có thể ảnh hưởng đến sức khỏe tổng thể và cần được điều trị kịp thời.",1
"Tôi bị các nốt đen nhỏ, sần sùi trên da, liệu có phải là bệnh gai đen không? Tôi cần làm gì?","Mặc dù bệnh gai đen thường lành tính, nhưng nó có thể là dấu hiệu của các bệnh lý tiềm ẩn nghiêm trọng hơn như tiểu đường hoặc ung thư trong một số trường hợp hiếm gặp.",0
"Triệu chứng phổ biến nhất của bệnh vảy nến là gì, và nó xuất hiện ở đâu trên cơ thể?","Triệu chứng phổ biến nhất của bệnh vảy nến là các mảng da đỏ có vảy bạc, thường gây ngứa và khó chịu.",1
Hội chứng DRESS có phải là một căn bệnh hiếm gặp không?,"Hội chứng DRESS là một phản ứng thuốc nghiêm trọng, thường xảy ra sau khi sử dụng thuốc từ 2 đến 8 tuần sau khi bắt đầu điều trị.",0
"Sau khi điều trị sùi mào gà sinh dục, tôi cần lưu ý điều gì để tránh tái phát?","Sau khi điều trị, bác sĩ sẽ kiểm tra và theo dõi để xác nhận rằng các nốt sùi đã hoàn toàn biến mất và không còn dấu hiệu nhiễm trùng. Bạn cũng có thể thực hiện xét nghiệm HPV để kiểm tra mức độ của virus trong cơ thể.",0
"Chẩn đoán bệnh dày sừng lòng bàn tay, bàn chân di chuyển được thực hiện như thế nào?","Chẩn đoán bệnh dày sừng lòng bàn tay, bàn chân di truyền thường dựa trên tiền sử bệnh, triệu chứng lâm sàng và có thể cần xét nghiệm sinh thiết da để xác nhận.",1
"Mụn trứng cá có thể để lại sẹo không? Nếu có, làm thế nào để giảm thiểu sẹo?","Có nhiều phương pháp điều trị sẹo lõm do mụn trứng cá, bao gồm các loại kem trị sẹo, liệu pháp laser, và các phương pháp trị liệu khác. Bạn nên tham khảo ý kiến bác sĩ da liễu để được tư vấn phương pháp phù hợp nhất với tình trạng của mình.",0
Các giai đoạn của bệnh giang mai diễn ra như thế nào?,"Trong giai đoạn muộn, giang mai có thể gây tổn thương hệ thần kinh trung ương, dẫn đến các triệu chứng như mất trí nhớ, động kinh, và rối loạn thần kinh.",1
Có những loại bệnh chốc lở nào và chúng khác nhau như thế nào?,"Bệnh chốc thường có đặc điểm là mụn nước, vết loét và vảy vàng trên da.",0
Những biến chứng có thể xảy ra nếu bệnh vảy cá không được điều trị kịp thời là gì?,"Nếu không được điều trị kịp thời, bệnh vảy cá có thể gây ra nhiễm trùng da, khó khăn trong việc giữ ẩm cho da và ảnh hưởng đến tâm lý người bệnh.",1
Nguyên nhân chính gây ra sẩn ngứa là gì?,"Sẩn ngứa thường do dị ứng, côn trùng cắn, hoặc tiếp xúc với các chất gây kích ứng như hóa chất.",1
Làm sao để phòng tránh viêm da tiếp xúc dị ứng?,"Để phòng ngừa, nên tránh tiếp xúc với các chất gây dị ứng, sử dụng găng tay khi làm việc với hóa chất, và chăm sóc da đúng cách.",1
Lupus ban đỏ hệ thống là gì và nó khác với lupus ban đỏ da như thế nào?,"Lupus ban đỏ da là một bệnh tự miễn, trong đó hệ thống miễn dịch của cơ thể tấn công các mô và cơ quan của chính nó.",0
Bệnh da và niêm mạc do Candida có triệu chứng gì?,"Bệnh nấm Candida trên da thường biểu hiện bằng các triệu chứng như ngứa, mẩn đỏ, phát ban và có thể xuất hiện mụn nước hoặc vết loét.",1
Triệu chứng thường gặp nhất của viêm âm đạo do trùng roi là gì?,"Triệu chứng viêm âm đạo do trùng roi thường bao gồm: khí hư bất thường (đặc, màu vàng hoặc xanh lá cây, có mùi hôi), ngứa, đau khi quan hệ tình dục.",1
Thuốc nào thường được sử dụng để điều trị hội chứng Raynaud và tác dụng phụ của chúng là gì?,"Các loại thuốc thường được sử dụng bao gồm thuốc giãn mạch, thuốc ức chế beta, và các thuốc chống viêm không steroid.",1
Bệnh da do ánh sáng có chữa khỏi được không?,"Bệnh da do ánh sáng có thể được điều trị bằng thuốc kháng viêm, kem chống nắng, và các biện pháp bảo vệ da khỏi ánh sáng mặt trời.",1
Những biến chứng có thể xảy ra do hội chứng bong vảy da do tụ cầu là gì?,"Nhiễm trùng huyết, mất nước nặng và tổn thương da nghiêm trọng, có thể gây nguy hiểm đến tính mạng.",1
Bệnh nấm da nếu không điều trị có thể gây ra biến chứng gì?,"Nếu không được điều trị kịp thời, bệnh nấm sợi da có thể gây ra nhiễm trùng thứ phát và tổn thương da nghiêm trọng, thậm chí để lại sẹo vĩnh viễn.",1
Có cách nào để phòng ngừa bệnh da nghề nghiệp không?,"Bệnh eczema nghề nghiệp có thể được phòng ngừa bằng cách sử dụng các biện pháp bảo hộ lao động, vệ sinh da sạch sẽ và tránh tiếp xúc với các chất gây dị ứng hoặc kích ứng.",1
Điều trị bệnh chốc lở bao gồm những phương pháp nào?,"Điều trị bệnh chốc thường bao gồm việc dùng kháng sinh dạng bôi hoặc uống, giữ vệ sinh da, và tránh chạm vào vùng da bị nhiễm để ngăn lây lan.",1
Bệnh nhân pemphigus vulgaris cần theo dõi những biến chứng nào trong quá trình điều trị?,"Bệnh nhân mắc pemphigus cần theo dõi thường xuyên để phát hiện sớm các biến chứng như nhiễm trùng, mất nước, khó nuốt, rối loạn điện giải, và ảnh hưởng nghiêm trọng đến chất lượng cuộc sống.",1
Bệnh sẩn ngứa có lây không?,"Không, sẩn ngứa không lây nhiễm.",0
Triệu chứng điển hình của bệnh lichen phẳng là gì?,"Triệu chứng của bệnh lichen phẳng bao gồm ngứa, các vết mẩn đỏ, và các vết bề mặt nhẵn hoặc có vảy.",1
Có những phương pháp điều trị tại nhà nào hiệu quả cho nhọt nhỏ và không bị nhiễm trùng nghiêm trọng?,Có thể chườm ấm và giữ vệ sinh khu vực bị nhọt để giảm đau và hỗ trợ làm mủ chín.,1
Thời gian trung bình để vảy phấn hồng Gibert tự khỏi là bao lâu?,Vảy phấn hồng Gibert thường tự khỏi trong vòng 6 đến 8 tuần mà không cần điều trị.,1
Có phương pháp nào để ngăn ngừa sự bùng phát của viêm da dầu không?,"Để ngăn ngừa các đợt bùng phát của viêm da dầu, bạn nên duy trì thói quen chăm sóc da tốt, tránh căng thẳng và giữ vệ sinh da sạch sẽ.",1
"Tôi bị chốc lở, cần bao lâu thì bệnh sẽ khỏi và có để lại sẹo không?","Thông thường, bệnh chốc có thể khỏi sau khoảng 5 đến 7 ngày nếu được điều trị đúng cách.",1
Bệnh lao da là gì và nó khác với bệnh lao phổi như thế nào?,"Bệnh lao da là một dạng bệnh nhiễm trùng da do vi khuẩn Mycobacterium tuberculosis gây ra, ảnh hưởng đến lớp biểu bì và các mô bên dưới.",1
U xơ thần kinh loại 1 khác với u xơ thần kinh loại 2 như thế nào về mặt lâm sàng?,"U xơ thần kinh có thể được phân loại thành các loại khác nhau dựa trên hình dạng, kích thước, và vị trí của u xơ.",0
"Bệnh vảy nến là một bệnh lý thuộc nhóm bệnh tự miễn dịch, điều này có nghĩa là gì?","Bệnh vảy nến là một bệnh tự miễn, nghĩa là hệ thống miễn dịch của cơ thể tấn công nhầm vào các tế bào da khỏe mạnh.",1
Liệu lichen phẳng có lây lan từ người này sang người khác không?,"Không, bệnh lichen phẳng không lây lan từ người này sang người khác.",1
Khám lâm sàng nào bác sĩ sẽ thực hiện để nghi ngờ bệnh viêm bì cơ?,"Các phương pháp điều trị viêm bì cơ bao gồm thuốc chống viêm, thuốc ức chế miễn dịch và vật lý trị liệu.",0
"Tôi nghi ngờ mình bị viêm âm hộ - âm đạo do nấm Candida, tôi nên đi khám bác sĩ chuyên khoa nào?","Bạn nên đi khám bác sĩ nếu triệu chứng của bạn nghiêm trọng hoặc kéo dài, đặc biệt nếu bạn có nguy cơ cao mắc bệnh viêm âm hộ-âm đạo do nấm Candida.",1
Những biện pháp chăm sóc da nào có thể giúp làm giảm khó chịu khi bị vảy phấn hồng Gibert?,Sử dụng kem dưỡng ẩm hoặc thuốc kháng histamine có thể làm dịu ngứa và khó chịu do vảy phấn hồng Gibert.,1
Những yếu tố nguy cơ nào có thể làm tăng nguy cơ phát triển bệnh da do ánh sáng?,"Tiếp xúc với ánh sáng, đặc biệt là ánh sáng mặt trời, có thể làm tăng nguy cơ mắc bệnh da do ánh sáng mặt trời và các vấn đề về da khác.",1
Triệu chứng của sẩn ngứa là gì?,"Sẩn ngứa có thể là triệu chứng của nhiều bệnh khác nhau, bao gồm dị ứng, viêm da tiếp xúc, hoặc mề đay.",0
Tôi nên làm gì nếu tôi nghĩ mình bị bệnh da nghề nghiệp?,"Nếu bạn nghi ngờ mình bị bệnh da nghề nghiệp do tiếp xúc với hóa chất, hãy đến gặp bác sĩ để được chẩn đoán và điều trị kịp thời.",1
Nguyên nhân gây ra Hội chứng Lyell là gì?,"Hội chứng Lyell thường do phản ứng dị ứng với thuốc, đặc biệt là kháng sinh, thuốc chống viêm không steroid và thuốc chống co giật.",1
Phương pháp điều trị ung thư tế bào đáy hiệu quả nhất hiện nay là gì?,"Phương pháp điều trị ung thư tế bào đáy bao gồm phẫu thuật cắt bỏ, liệu pháp bức xạ và thuốc bôi tại chỗ.",1
"Có sự khác biệt nào giữa mụn trứng cá thể nhẹ, trung bình và nặng không? Hãy mô tả.","Mụn trứng cá thường có xu hướng xuất hiện thành từng cụm, có thể có đầu đen, đầu trắng, và kèm theo sưng đỏ. Mụn bọc thường tập trung ở vùng mặt, lưng, ngực, và vai.",0
Triệu chứng điển hình của viêm da đầu chi - ruột ở trẻ em là gì?,"Triệu chứng viêm da đầu chi - ruột ở trẻ em có thể bao gồm da đỏ, ngứa, bong tróc, đặc biệt là ở những vùng da bị tổn thương.",1
U ống tuyến mồ hôi thường được điều trị bằng phương pháp nào?,Phẫu thuật cắt bỏ là phương pháp điều trị hiệu quả nhất để loại bỏ u ống tuyến mồ hôi.,1
Ngành nghề nào có nguy cơ mắc bệnh da nghề nghiệp cao nhất?,"Bệnh eczema nghề nghiệp thường xuất hiện ở những ngành nghề tiếp xúc với hóa chất, dầu mỡ, hoặc chất tẩy rửa.",1
Có cách nào để phòng ngừa viêm da tiếp xúc do côn trùng không?,"Để phòng ngừa, bạn có thể sử dụng thuốc chống côn trùng, mặc quần áo bảo vệ và tránh những khu vực có nhiều côn trùng.",1
Triệu chứng điển hình của bệnh mày đay là gì?,"Triệu chứng chính của bệnh mày đay là phát ban ngứa, đỏ và sưng trên da.",1
Bệnh hồng ban đa dạng có lây không?,"Hồng ban đa dạng không phải là bệnh lây nhiễm, nhưng nguyên nhân gây ra nó có thể liên quan đến nhiễm trùng, có thể lây lan từ người này sang người khác.",1
"Tôi bị sẩn ngứa lâu không khỏi, có nghiêm trọng không?","Không, nếu sẩn ngứa kéo dài và không thuyên giảm, bạn nên đi khám bác sĩ để được chẩn đoán và điều trị kịp thời.",1
Có những phương pháp điều trị nào cho bệnh lang ben?,"Lang ben có thể được điều trị bằng các loại kem chống nấm, thuốc uống và sản phẩm chăm sóc da chuyên dụng.",1
Yếu tố nào làm tăng nguy cơ mắc hồng ban đa dạng?,"Hệ miễn dịch yếu, nhiễm virus herpes trước đó và tiền sử dị ứng là những yếu tố làm tăng nguy cơ mắc hồng ban đa dạng.",1
Có thuốc bôi hoặc thuốc uống nào hiệu quả để điều trị dị sừng nang lông không?,"Thuốc bôi steroid thường được sử dụng để điều trị dị sừng nang lông, nhưng trong một số trường hợp, bác sĩ có thể kê đơn thuốc uống như isotretinoin (retinoid dạng uống) để giúp giảm viêm hoặc làm thông thoáng nang lông.",1
"Nếu nghi ngờ bị bệnh lậu, nên đến cơ sở y tế nào để khám?","Nếu bạn nghi ngờ mình mắc bệnh lậu, hãy đến gặp bác sĩ ngay lập tức để được khám và điều trị kịp thời.",1
Vai trò của corticosteroid trong điều trị pemphigus vulgaris là gì và những tác dụng phụ thường gặp là gì?,"Một số tác dụng phụ có thể xảy ra khi điều trị pemphigus bằng corticosteroid lâu dài bao gồm tăng cân, loãng xương và nguy cơ nhiễm trùng cao hơn.",1
Khám sàng lọc ung thư tế bào vảy nên được thực hiện như thế nào và bao lâu một lần?,"Thời gian điều trị ung thư tế bào vảy phụ thuộc vào giai đoạn và mức độ nghiêm trọng của bệnh. Nếu được phát hiện sớm, tỷ lệ chữa khỏi cao. Tuy nhiên, nếu ung thư đã lan rộng, việc điều trị có thể kéo dài hơn.",0
Khi nào tôi cần phải đến gặp bác sĩ da liễu nếu nghi ngờ mình bị chốc lở?,"Bạn nên đến gặp bác sĩ nếu vết chốc không thuyên giảm sau vài ngày điều trị, lan rộng nhanh chóng, hoặc nếu người bệnh bị sốt và sưng đau.",1
Tình trạng nào có thể làm trầm trọng thêm các triệu chứng của hồng ban đa dạng?,"Triệu chứng thường gặp bao gồm các vết đỏ trên da, ngứa, cảm giác nóng rát, và có thể kèm theo sưng.",0
"Tôi bị phát ban đỏ trên mặt, có thể đó là lupus ban đỏ không? Tôi cần làm gì?","Nếu bạn bị lupus ban đỏ, việc theo dõi các triệu chứng như phát ban, đau khớp và mệt mỏi, bạn nên làm xét nghiệm máu để kiểm tra các chỉ số viêm.",0
Triệu chứng sớm nhất của bệnh phong thường là gì?,"Triệu chứng chính của bệnh phong bao gồm tổn thương da, mất cảm giác ở các vùng da bị ảnh hưởng và suy nhược cơ.",0
Khi nào tôi nên đến gặp bác sĩ da liễu vì triệu chứng mày đay?,"Nếu các triệu chứng mày đay kéo dài, nghiêm trọng hơn hoặc kèm theo các dấu hiệu nghiêm trọng như khó thở, sưng mặt hoặc môi.",1
Phòng ngừa bệnh gai đen như thế nào là hiệu quả nhất?,"Để ngăn ngừa bệnh gai đen, bạn nên duy trì một lối sống lành mạnh, bao gồm chế độ ăn uống cân bằng, tập thể dục thường xuyên, kiểm soát cân nặng, và khám sức khỏe định kỳ để phát hiện sớm các vấn đề sức khỏe tiềm ẩn như tiểu đường.",1
Bệnh hạt cơm có lây không?,Bệnh hạt cơm có thể lây lan qua tiếp xúc trực tiếp với da của người nhiễm hoặc qua đồ vật dùng chung như khăn tắm.,1
Viêm da tiếp xúc do côn trùng có thể gây nguy hiểm gì không?,"Viêm da tiếp xúc do côn trùng thường không nguy hiểm, nhưng nếu không được điều trị có thể dẫn đến nhiễm trùng và biến chứng khác.",0
Dị sừng nang lông có lây lan không?,"Dị sừng nang lông không phải là bệnh lây nhiễm, nhưng nếu có sự viêm hoặc nhiễm trùng tại các nang lông, bạn có thể bị lây lan từ người này sang người khác.",1
Bệnh nấm da có lây lan không?,"Có, bệnh nấm da có thể lây lan qua tiếp xúc trực tiếp với vùng da bị nhiễm hoặc qua các vật dụng cá nhân như khăn tắm.",1
Hội chứng bong vảy da do tụ cầu có lây nhiễm không và lây qua đường nào?,"Có, bệnh có thể lây lan qua tiếp xúc trực tiếp với da người bệnh hoặc qua các vật dụng nhiễm khuẩn.",1
